Comment,Designator,Footprint,LCSC Part #,Qty,Assembly,Notes
STM32F072CBT6,U1,Package_QFP:LQFP-48_7x7mm_P0.5mm,C81720,1,SMT,Reflow — same as Connect/Air
INA228AIDGST,U2,Package_SO:VSSOP-10_3x3mm_P0.5mm,C2678360,1,SMT,Reflow — 16-bit current/voltage/power monitor I2C addr 0x40
ATECC608A-MAHDA-T,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C3395330,1,SMT,Reflow — secure element signs attestation records
AMS1117-3.3,U4,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186,1,SMT,Reflow — 3.3V LDO from VBUS
Crystal 8MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1,SMT,HSE oscillator
10mΩ 1% 2W 2512,R_SH1,Resistor_SMD:R_2512_6332Metric,C17329,1,SMT,SHUNT — Kelvin connections to INA228 IN+/IN- — DO NOT SUBSTITUTE
100k 0805,R1 R3 R4 R5 R6 R7 R8 R9 R10,Resistor_SMD:R_0805_2012Metric,C17407,9,SMT,Voltage divider top+bottom for DM/DP/CC1/CC2 + VBUS top
10k 0805,R2 R15,Resistor_SMD:R_0805_2012Metric,C17414,2,SMT,VBUS divider bottom + button pull-down
4.7k 0805,R11 R12,Resistor_SMD:R_0805_2012Metric,C23162,2,SMT,I2C pull-ups SCL/SDA (shared bus INA228+ATECC)
270R 0805,R13 R14,Resistor_SMD:R_0805_2012Metric,C17630,2,SMT,LED current limit
100nF 0805,C1 C2 C4 C7 C10 C_INA1,Capacitor_SMD:C_0805_2012Metric,C49678,6,SMT,Decoupling
10uF 0805,C3 C8 C9 C_INA2,Capacitor_SMD:C_0805_2012Metric,C17024,4,SMT,Bulk decoupling LDO and INA228 VS
1uF 0805,C5,Capacitor_SMD:C_0805_2012Metric,C15849,1,SMT,VDDA bulk
10nF 0805,C6 C_ADC1 C_ADC2 C_ADC3 C_ADC4 C_ADC5,Capacitor_SMD:C_0805_2012Metric,C57112,6,SMT,VDDA HF + ADC input RC filters
12pF 0805,C11 C12,Capacitor_SMD:C_0805_2012Metric,C1557,2,SMT,Crystal load caps
USB-C Receptacle SMD GCT USB4105-GF-A,J1 J2,Connector_USB:USB_C_Receptacle_GCT_USB4105-GF-A,C2765186,2,SMT,Both connectors same part — J1=upstream J2=DUT
SSD1306 128x64 OLED SPI 0.96in,DSP1,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,,1,THT,Source: AliExpress 0.96" SSD1306 SPI OLED 7-pin — GND VCC CLK MOSI RES DC CS
LED 3mm Green,D1,LED_THT:LED_D3.0mm,,1,THT,OK/NORMAL indicator
LED 3mm Red,D2,LED_THT:LED_D3.0mm,,1,THT,FAULT/HIGH_RISK indicator
Tactile Switch 6x6mm,SW1,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645,,1,THT,MEASURE button
PinHeader 1x04 2.54mm,J3,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,1,THT,SWD debug header
PinHeader 1x02 2.54mm,J4,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,1,THT,BOOT0 jumper
Jumper shunt 2.54mm,J4_shunt,,,,THT,BOOT0 shunt — keep one on board
M3 Standoff Nylon,H1 H2 H3 H4,MountingHole:MountingHole_3.2mm_M3,,4,THT,Enclosure mounting
