Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,ATECC608A-SSHDA-TCT-ND,ATECC608A-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8-SOIC,,1,0,$1.00000,$1.00
2,ATECC608A-SSHDA-B-ND,ATECC608A-SSHDA-B,Microchip Technology,IC AUTHENTICATION CHIP 8-SOIC,,1,0,$1.00000,$1.00
3,ATECC608A-SSHCZ-TCT-ND,ATECC608A-SSHCZ-T,Microchip Technology,IC AUTHENTICATION CHIP 8-SOIC,,1,0,$1.00000,$1.00
4,497-17361-ND,STM32F072R8T6,STMicroelectronics,IC MCU 32BIT 64KB FLASH 64LQFP,,1,0,$4.71000,$4.71
5,1568-12700-ND,12700,SparkFun Electronics,SPARKFUN USB TYPE A FEMALE BREAK,,1,0,$5.25000,$5.25
6,3457-BRK-USB-AP-3.1-ND,BRK-USB-AP-3.1,Saiko Systems Ltd.,USB 3.1 TYPE A MALE PLUG BREAKOU,,1,0,$8.08000,$8.08
7,150-ATECC608B-SSHDA-TCT-ND,ATECC608B-SSHDA-T,Microchip Technology,IC AUTHENTICATION CHIP 8-SOIC,,1,0,$0.90000,$0.90
8,445-5242-1-ND,PS1440P02BT,TDK Corporation,BUZZER PIEZO 3V 14MM TH,,1,0,$0.78000,$0.78
9,4518-AMS1117-3.3CT-ND,AMS1117-3.3,UMW,IC REG LINEAR 3.3V 1A SOT-223-3L,,1,0,$0.29000,$0.29
10,497-1443-5-ND,L7805CV,STMicroelectronics,IC REG LINEAR 5V 1.5A TO220,,1,0,$0.50000,$0.50
11,AP2112K-3.3TRG1DICT-ND,AP2112K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT-25,,1,0,$0.22000,$0.22
12,AZ1117CH-3.3TRG1DICT-ND,AZ1117CH-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 1A SOT-223-3,,1,0,$0.16000,$0.16
13,497-1575-5-ND,LM317T,STMicroelectronics,IC REG LINEAR POS ADJ 1.5A TO220,,1,0,$0.56000,$0.56
14,296-47192-ND,LM7805CT/NOPB,Texas Instruments,IC REG LINEAR 5V 1.5A TO220-3,,1,0,$1.80000,$1.80
