date,vendor,category,subcategory,description,sku_mpn,qty,unit_price_usd,item_total_usd,tax_usd,shipping_usd,order_id,invoice_id,status,notes,source_file
3/29/2025,Namecheap,Infrastructure,Domain,Domain registration: zknot.io,zknot.io,1,34.98,34.98,0,0,167171892,,Active,,namecheap-order-167171892.pdf
3/29/2025,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,167171892,,,,namecheap-order-167171892.pdf
3/29/2025,Namecheap,Summary,,Order total,,1,34.98,34.98,0,0,167171892,,,Summary row,namecheap-order-167171892.pdf
7/31/2025,Namecheap,Infrastructure,Domain,Domain registration: nullkey.net,nullkey.net,1,12.98,12.98,0,0,177515148,,Active,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain,Domain registration: zeroport.net,zeroport.net,1,12.98,12.98,0,0,177515148,,Active,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain,Domain registration: zknot.dev,zknot.dev,1,6.98,6.98,0,0,177515148,,Active,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain,Domain registration: zknot.org,zknot.org,1,7.48,7.48,0,0,177515148,,Active,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,177515148,,,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,177515148,,,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,177515148,,,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Infrastructure,Domain Privacy,Free domain privacy,privacy,1,0,0,0,0,177515148,,,,namecheap-order-177515148.pdf
7/31/2025,Namecheap,Summary,,Order total,,1,41.22,41.22,0,0,177515148,,,Summary row,namecheap-order-177515148.pdf
8/23/2025,Namecheap,Infrastructure,Domain,Domain registration: sl33pers.com,sl33pers.com,1,11.28,11.28,0,0,179357484,,Active,,namecheap-order-179357484.pdf
8/23/2025,Namecheap,Infrastructure,Domain,Domain registration: zknot.eu,zknot.eu,1,4.98,4.98,0,0,179357484,,Active,,namecheap-order-179357484.pdf
8/23/2025,Namecheap,Infrastructure,Domain,Domain registration: zkystems.com,zkystems.com,1,11.28,11.28,0,0,179357484,,Active,,namecheap-order-179357484.pdf
